,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,1.0,삼성전자,84100.0,900.0,-1.06%,100.0,5020587.0,5969783.0,55.57,30136601.0,39.47,4.15,
2,2.0,SK하이닉스,179200.0,7100.0,-3.81%,5000.0,1304580.0,728002.0,54.69,5082907.0,-14.32,-15.61,
3,3.0,LG에너지솔루션,376000.0,17000.0,-4.33%,500.0,879840.0,234000.0,4.97,364327.0,71.12,6.36,
4,4.0,삼성바이오로직스,812000.0,4000.0,-0.49%,2500.0,577933.0,71174.0,11.99,50553.0,67.38,9.12,
5,5.0,삼성전자우,68300.0,1600.0,-2.29%,100.0,562032.0,822887.0,75.6,1916769.0,32.05,,
9,6.0,현대차,216000.0,4000.0,-1.82%,5000.0,456908.0,211532.0,38.16,1097532.0,4.96,13.68,
10,7.0,기아,101800.0,2900.0,-2.77%,5000.0,409281.0,402044.0,40.33,1658452.0,4.68,20.44,
11,8.0,셀트리온,180500.0,3300.0,-1.80%,1000.0,393580.0,218050.0,23.02,472146.0,49.6,5.07,
12,9.0,POSCO홀딩스,398500.0,11000.0,-2.69%,5000.0,337016.0,84571.0,27.26,711528.0,19.85,3.18,
13,10.0,NAVER,193400.0,1400.0,+0.73%,100.0,314098.0,162409.0,45.52,1095304.0,31.29,4.41,
17,11.0,삼성SDI,428000.0,25000.0,-5.52%,5000.0,294312.0,68765.0,42.27,593358.0,14.99,11.48,
18,12.0,LG화학,403000.0,21000.0,-4.95%,5000.0,284487.0,70592.0,39.85,478222.0,23.58,4.2,
19,13.0,삼성물산,150300.0,4700.0,-3.03%,100.0,278944.0,185592.0,24.69,441847.0,12.71,7.28,
20,14.0,KB금융,67300.0,1600.0,-2.32%,5000.0,271563.0,403511.0,75.59,1462811.0,5.88,8.44,
21,15.0,카카오,51000.0,200.0,-0.39%,100.0,227028.0,445153.0,28.1,1324074.0,-22.41,-10.26,
25,16.0,현대모비스,240500.0,7000.0,-2.83%,5000.0,225240.0,93655.0,40.17,261908.0,6.62,8.73,
26,17.0,신한지주,43500.0,1400.0,-3.12%,5000.0,223050.0,512759.0,61.05,2835344.0,5.18,8.36,
27,18.0,포스코퓨처엠,271000.0,16000.0,-5.57%,500.0,209925.0,77463.0,9.08,408069.0,730.46,1.19,
28,19.0,삼성생명,92800.0,100.0,-0.11%,500.0,185600.0,200000.0,19.55,394442.0,9.79,4.95,
29,20.0,메리츠금융지주,80200.0,900.0,-1.11%,500.0,163104.0,203372.0,16.61,310980.0,7.65,28.11,
33,21.0,하나금융지주,55600.0,900.0,-1.59%,5000.0,162550.0,292357.0,70.55,1322643.0,4.79,9.01,
34,22.0,LG전자,93900.0,2600.0,-2.69%,5000.0,153665.0,163648.0,30.01,713782.0,23.82,3.69,
35,23.0,삼성화재,301500.0,8500.0,-2.74%,500.0,142835.0,47375.0,53.62,120145.0,8.38,12.73,
36,24.0,한미반도체,144900.0,600.0,-0.41%,100.0,141045.0,97339.0,15.75,2808612.0,52.79,55.54,
37,25.0,한국전력,21350.0,200.0,-0.93%,5000.0,137059.0,641964.0,15.15,1532631.0,-2.84,-12.63,
41,26.0,LG,82200.0,3300.0,-3.86%,5000.0,129301.0,157301.0,35.5,373104.0,10.45,4.89,
42,27.0,SK,175500.0,2500.0,-1.40%,200.0,128463.0,73198.0,24.81,121175.0,-16.72,-3.67,
